dataset,layer_type,structure,experiment,timestep,mean_nnrd,std_nnrd,median_nnrd,q25_nnrd,q75_nnrd,min_nnrd,max_nnrd,n_successful,individual_scores
synth-feature,gin,False,synth-feature_gin_structFalse,60,-0.2039043142611285,0.00699489827924547,-0.19971181148420172,-0.20673594671833428,-0.19897643041545932,-0.21376008195246687,-0.19824104934671688,3,"[-0.19824104934671688, -0.21376008195246687, -0.19971181148420172]"
synth-feature,gin,False,synth-feature_gin_structFalse,64,-0.2093563817433807,0.005096403337407565,-0.20798903274189878,-0.21207876372461792,-0.2059503252614025,-0.2161684947073371,-0.20391161778090625,3,"[-0.20391161778090625, -0.2161684947073371, -0.20798903274189878]"
synth-feature,gin,False,synth-feature_gin_structFalse,68,-0.20426992956662957,0.0037367769764958315,-0.2036225467456517,-0.20637914775692123,-0.20183701996584896,-0.20913574876819074,-0.2000514931860462,3,"[-0.20913574876819074, -0.2000514931860462, -0.2036225467456517]"
synth-feature,gin,False,synth-feature_gin_structFalse,72,-0.20355437003672908,0.004996290436730246,-0.2039249604929793,-0.20670239709643934,-0.20059163820514397,-0.20947983369989934,-0.1972583159173086,3,"[-0.2039249604929793, -0.20947983369989934, -0.1972583159173086]"
synth-feature,gin,False,synth-feature_gin_structFalse,76,-0.2006796051619598,0.0137650122995714,-0.21033818769228246,-0.21041284326576976,-0.19577565832331115,-0.21048749883925705,-0.18121312895433983,3,"[-0.21033818769228246, -0.18121312895433983, -0.21048749883925705]"
synth-feature,gin,False,synth-feature_gin_structFalse,80,-0.2038020340743167,0.0020137285592069128,-0.20466829289792635,-0.2051933169169584,-0.2028438806434798,-0.20571834093599048,-0.20101946838903323,3,"[-0.20101946838903323, -0.20466829289792635, -0.20571834093599048]"
synth-feature,gin,False,synth-feature_gin_structFalse,84,-0.20263968215761077,0.00610094607832952,-0.1998923805969722,-0.2054944512239499,-0.19841126231095238,-0.21109652185092762,-0.19693014402493256,3,"[-0.19693014402493256, -0.1998923805969722, -0.21109652185092762]"
synth-feature,gin,False,synth-feature_gin_structFalse,88,-0.19400633984232638,0.003803518053790761,-0.19534224664668134,-0.19659651019289576,-0.19208412289393448,-0.19785077373911014,-0.1888259991411876,3,"[-0.19785077373911014, -0.1888259991411876, -0.19534224664668134]"
synth-feature,gin,False,synth-feature_gin_structFalse,92,-0.19505678898724452,0.0064426030032815355,-0.19932654257313062,-0.19960946781386207,-0.19263898695357,-0.19989239305459353,-0.1859514313340094,3,"[-0.19989239305459353, -0.1859514313340094, -0.19932654257313062]"
synth-feature,gin,False,synth-feature_gin_structFalse,96,-0.20103949498101922,0.006093070026377823,-0.19739510019151077,-0.203509484994515,-0.1967473075727692,-0.20962386979751924,-0.19609951495402766,3,"[-0.20962386979751924, -0.19739510019151077, -0.19609951495402766]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,4,0.11349947997778966,0.010121311878916914,0.11075526066029319,0.10673038773938692,0.11889646255744415,0.10270551481848067,0.12703766445459513,3,"[0.11075526066029319, 0.12703766445459513, 0.10270551481848067]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,8,0.12495571801238514,0.0047782046463970135,0.12163616912983242,0.1215771887083753,0.12667447287511863,0.12151820828691819,0.13171277662040484,3,"[0.12163616912983242, 0.12151820828691819, 0.13171277662040484]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,12,0.15061633795405474,0.006139923448403588,0.15096478025751606,0.14694655716539895,0.1544603398944412,0.14292833407328187,0.15795589953136632,3,"[0.15096478025751606, 0.15795589953136632, 0.14292833407328187]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,16,0.14708252730812596,0.011731917173558131,0.14824991153744146,0.14020787611441404,0.15454087061649563,0.1321658406913866,0.1608318296955498,3,"[0.14824991153744146, 0.1608318296955498, 0.1321658406913866]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,20,0.1450226770227687,0.009699432611141845,0.14944273718327278,0.1405048415713676,0.15175054255442183,0.13156694595946244,0.15405834792557085,3,"[0.15405834792557085, 0.13156694595946244, 0.14944273718327278]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,24,0.15454128081260102,0.01070595102962787,0.14791963198138888,0.14699007760103383,0.15878165960856214,0.14606052322067878,0.1696436872357354,3,"[0.1696436872357354, 0.14606052322067878, 0.14791963198138888]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,28,0.15675547176187563,0.0057694251373333096,0.15384213828499807,0.1527269957570146,0.15932728102829785,0.15161185322903112,0.16481242377159763,3,"[0.15161185322903112, 0.15384213828499807, 0.16481242377159763]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,32,0.15539260674458796,0.005471335820830584,0.15231980291286826,0.151549439081339,0.15769937249197707,0.15077907524980977,0.1630789420710859,3,"[0.15077907524980977, 0.15231980291286826, 0.1630789420710859]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,36,0.1562220380595878,0.006294050652288855,0.1546792588244862,0.15204037550219507,0.1596323109994297,0.14940149217990398,0.16458536317437322,3,"[0.14940149217990398, 0.1546792588244862, 0.16458536317437322]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,40,0.1487834280621432,0.013007884485138217,0.1462970462101158,0.14026925670256618,0.1560544084957065,0.1342414671950166,0.16581177078129722,3,"[0.1462970462101158, 0.1342414671950166, 0.16581177078129722]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,44,0.1517947199381365,0.013532215907058557,0.15560176319853947,0.1446253491011376,0.16086761240533687,0.13364893500373573,0.16613346161213427,3,"[0.16613346161213427, 0.13364893500373573, 0.15560176319853947]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,48,0.15546268655536274,0.005752050529995919,0.15915432596693516,0.15324680775693533,0.15952438505957633,0.14733928954693554,0.15989444415221754,3,"[0.15915432596693516, 0.15989444415221754, 0.14733928954693554]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,52,0.1562122766165857,0.008949331630364958,0.16015269379769287,0.1519894389173098,0.1624053229064152,0.1438261840369267,0.16465795201513755,3,"[0.16465795201513755, 0.16015269379769287, 0.1438261840369267]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,56,0.15817485889739877,0.004331794257826591,0.16100074261033775,0.15652774489148952,0.16123491475977753,0.15205474717264125,0.16146908690921732,3,"[0.16100074261033775, 0.16146908690921732, 0.15205474717264125]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,60,0.15748083331641383,0.012657067965825537,0.16321153173696373,0.15157063082965433,0.16625638501344825,0.13992972992234495,0.1693012382899328,3,"[0.13992972992234495, 0.16321153173696373, 0.1693012382899328]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,64,0.14659440728161519,0.01040769764112794,0.1414079058126398,0.13933319041184689,0.15126237341689577,0.13725847501105398,0.16111684102115176,3,"[0.1414079058126398, 0.16111684102115176, 0.13725847501105398]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,68,0.15983250725347123,0.005320085247382043,0.16195312059034414,0.15723687229248592,0.163488448882893,0.1525206239946277,0.16502377717544184,3,"[0.16502377717544184, 0.1525206239946277, 0.16195312059034414]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,72,0.15102871322969766,0.01088966404435862,0.14886148268733068,0.14388473723191858,0.15708907395629323,0.1389079917765065,0.16531666522525582,3,"[0.14886148268733068, 0.1389079917765065, 0.16531666522525582]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,76,0.13304250070468335,0.02199799265622578,0.13931819906206777,0.12141739985682505,0.14780545073123386,0.10351660065158233,0.1562927024003999,3,"[0.1562927024003999, 0.10351660065158233, 0.13931819906206777]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,80,0.14825633238863636,0.008777524502862252,0.1541780219869588,0.14501267818999797,0.15446083138643593,0.13584733439303717,0.15474364078591307,3,"[0.13584733439303717, 0.15474364078591307, 0.1541780219869588]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,84,0.14405531059849255,0.0068900375655457004,0.1451537192124656,0.14013753722105143,0.1485222882829202,0.1351213552296373,0.15189085735337476,3,"[0.1351213552296373, 0.1451537192124656, 0.15189085735337476]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,88,0.15095431957413713,0.008824844898001092,0.15132184370772686,0.14564445260991643,0.1564479486051527,0.13996706151210603,0.16157405350257853,3,"[0.15132184370772686, 0.13996706151210603, 0.16157405350257853]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,92,0.1480045691254093,0.006957660051575759,0.14955985108309305,0.14418627143209464,0.1526005077975658,0.13881269178109623,0.15564116451203855,3,"[0.15564116451203855, 0.13881269178109623, 0.14955985108309305]"
synth-coupled,gin,False,synth-coupled_gin_structFalse,96,0.12331510793307719,0.024070745021584107,0.13600584163600074,0.11281016265897231,0.14016542005864385,0.08961448368194387,0.14432499848128694,3,"[0.13600584163600074, 0.14432499848128694, 0.08961448368194387]"
